0,1
Muscle Pain_ibuprofen,25
Muscle Pain_naproxen,25
Muscle Pain_acetaminophen,25
Muscle Pain_diclofenac,25
Muscle Pain_nabumetone,25
Osteoarthritis_diclofenac,22
Tinea Corporis_ketoconazole,18
Tinea Corporis_terbinafine,18
HIV Infection_lamivudine,15
HIV Infection_efavirenz / emtricitabine / tenofovir,15
HIV Infection_ritonavir,15
HIV Infection_emtricitabine / tenofovir,15
HIV Infection_tenofovir,15
HIV Infection_abacavir,15
Borderline Personality Disorder_quetiapine,14
Borderline Personality Disorder_lamotrigine,14
Borderline Personality Disorder_lithium,14
Borderline Personality Disorder_risperidone,14
Borderline Personality Disorder_fluoxetine,14
Borderline Personality Disorder_olanzapine,14
Borderline Personality Disorder_buspirone,14
Borderline Personality Disorder_clonazepam,14
Borderline Personality Disorder_sertraline,14
Borderline Personality Disorder_aripiprazole,14
Borderline Personality Disorder_topiramate,14
Borderline Personality Disorder_diazepam,14
Borderline Personality Disorder_lorazepam,14
Borderline Personality Disorder_escitalopram,14
Borderline Personality Disorder_divalproex sodium,14
Borderline Personality Disorder_alprazolam,14
Borderline Personality Disorder_clozapine,14
Borderline Personality Disorder_oxcarbazepine,14
Borderline Personality Disorder_citalopram,14
Borderline Personality Disorder_haloperidol,14
Borderline Personality Disorder_lurasidone,14
Borderline Personality Disorder_l-methylfolate,14
Borderline Personality Disorder_carbamazepine,14
Borderline Personality Disorder_asenapine,14
Borderline Personality Disorder_paliperidone,14
Tinea Pedis_terbinafine,12
Chronic Fatigue Syndrome_modafinil,12
Chronic Fatigue Syndrome_duloxetine,12
Chronic Fatigue Syndrome_lisdexamfetamine,12
Chronic Fatigue Syndrome_amantadine,12
Chronic Fatigue Syndrome_armodafinil,12
Oral Thrush_miconazole,12
Psoriasis_triamcinolone,12
Tinea Cruris_terbinafine,12
Angina_aspirin,11
Angina_nitroglycerin,11
Angina_metoprolol,11
Angina_amlodipine,11
Angina_isosorbide mononitrate,11
Angina_isosorbide dinitrate,11
Angina_enoxaparin,11
Angina_ranolazine,11
Angina_atenolol,11
Angina_carvedilol,11
Angina_amlodipine / atorvastatin,11
Osteoarthritis_meloxicam,11
Osteoarthritis_naproxen,11
Osteoarthritis_ibuprofen,11
Osteoarthritis_celecoxib,11
Osteoarthritis_chondroitin / glucosamine,11
Osteoarthritis_etodolac,11
Osteoarthritis_prednisone,11
Osteoarthritis_aspirin,11
Osteoarthritis_nabumetone,11
Osteoarthritis_duloxetine,11
Dermal Ulcer_collagenase,11
Dermal Ulcer_becaplermin,11
Dermal Ulcer_cadexomer iodine,11
Schizophrenia_risperidone,11
Schizophrenia_clozapine,11
Schizophrenia_olanzapine,11
Schizophrenia_quetiapine,11
Schizophrenia_aripiprazole,11
Schizophrenia_chlorpromazine,11
Schizophrenia_paliperidone,11
Schizophrenia_ziprasidone,11
Schizophrenia_loxapine,11
Acute Myeloid Leukemia_cytarabine,10
Acute Myeloid Leukemia_vincristine,10
Acute Myeloid Leukemia_daunorubicin,10
Acute Myeloid Leukemia_idarubicin,10
Acute Myeloid Leukemia_decitabine,10
Acute Myeloid Leukemia_gemtuzumab,10
Acute Myeloid Leukemia_midostaurin,10
Acute Myeloid Leukemia_venetoclax,10
Acute Myeloid Leukemia_enasidenib,10
Acute Myeloid Leukemia_cytarabine liposomal / daunorubicin liposomal,10
Acute Myeloid Leukemia_ivosidenib,10
Acute Myeloid Leukemia_gilteritinib,10
Acute Myeloid Leukemia_glasdegib,10
Multiple Myeloma_dexamethasone,10
Multiple Myeloma_thalidomide,10
Multiple Myeloma_cyclophosphamide,10
Multiple Myeloma_lenalidomide,10
Multiple Myeloma_bortezomib,10
Multiple Myeloma_carfilzomib,10
Multiple Myeloma_pomalidomide,10
Multiple Myeloma_daratumumab,10
Multiple Myeloma_melphalan,10
Non-Hodgkin's Lymphoma_cyclophosphamide,10
Non-Hodgkin's Lymphoma_vincristine,10
Non-Hodgkin's Lymphoma_rituximab,10
Non-Hodgkin's Lymphoma_methotrexate,10
Non-Hodgkin's Lymphoma_bendamustine,10
Non-Hodgkin's Lymphoma_cytarabine,10
Non-Hodgkin's Lymphoma_fludarabine,10
Non-Hodgkin's Lymphoma_bleomycin,10
Non-Hodgkin's Lymphoma_carmustine,10
Non-Hodgkin's Lymphoma_idelalisib,10
Non-Hodgkin's Lymphoma_ibritumomab,10
Non-Hodgkin's Lymphoma_ibrutinib,10
Non-Hodgkin's Lymphoma_mitoxantrone,10
High Cholesterol_atorvastatin,10
High Cholesterol_simvastatin,10
High Cholesterol_pravastatin,10
High Cholesterol_rosuvastatin,10
High Cholesterol_lovastatin,10
High Cholesterol_ezetimibe,10
High Cholesterol_gemfibrozil,10
High Cholesterol_niacin,10
High Cholesterol_ezetimibe / simvastatin,10
High Cholesterol_fenofibric acid,10
Glomerulonephritis_azathioprine,9
Glomerulonephritis_penicillin g benzathine,9
Renal Cell Carcinoma_pazopanib,9
Renal Cell Carcinoma_sunitinib,9
Renal Cell Carcinoma_axitinib,9
Renal Cell Carcinoma_nivolumab,9
Renal Cell Carcinoma_sorafenib,9
Renal Cell Carcinoma_everolimus,9
Renal Cell Carcinoma_bevacizumab,9
Renal Cell Carcinoma_cabozantinib,9
Renal Cell Carcinoma_medroxyprogesterone,9
Renal Cell Carcinoma_aldesleukin,9
Renal Cell Carcinoma_capecitabine,9
Renal Cell Carcinoma_temsirolimus,9
Renal Cell Carcinoma_lenvatinib,9
Anthrax_ciprofloxacin,9
Anthrax_levofloxacin,9
Anthrax_doxycycline,9
Anthrax_moxifloxacin,9
Anthrax_penicillin g potassium,9
Anthrax_chloramphenicol,9
Anthrax_ofloxacin,9
Anthrax_anthrax immune globulin intravenous,9
Neurofibromatosis_bevacizumab,9
Bipolar Disorder_lamotrigine,9
Bipolar Disorder_lithium,9
Bipolar Disorder_quetiapine,9
Bipolar Disorder_gabapentin,9
Bipolar Disorder_clonazepam,9
Bipolar Disorder_divalproex sodium,9
Bipolar Disorder_bupropion,9
Bipolar Disorder_oxcarbazepine,9
Bipolar Disorder_risperidone,9
Bipolar Disorder_sertraline,9
Bipolar Disorder_aripiprazole,9
Bipolar Disorder_topiramate,9
Bipolar Disorder_olanzapine,9
Bipolar Disorder_venlafaxine,9
Tinea Corporis_betamethasone / clotrimazole,9
Tinea Corporis_clotrimazole,9
Tinea Corporis_miconazole,9
Tinea Corporis_fluconazole,9
Tinea Corporis_econazole,9
Tinea Corporis_griseofulvin,9
Tinea Corporis_tolnaftate,9
Tinea Corporis_ciclopirox,9
Clostridioides difficile Infection_vancomycin,9
Clostridioides difficile Infection_metronidazole,9
Clostridioides difficile Infection_fidaxomicin,9
Clostridioides difficile Infection_penicillin g potassium,9
Clostridioides difficile Infection_penicillin v potassium,9
Clostridioides difficile Infection_penicillin g sodium,9
Hyperbilirubinemia_phenobarbital,9
Acne_doxycycline,8
Acne_spironolactone,8
Acne_minocycline,8
Acne_clindamycin,8
Acne_tretinoin,8
Acne_isotretinoin,8
Acne_benzoyl peroxide,8
Acne_adapalene,8
Acne_tetracycline,8
Acne_cephalexin,8
Acne_sulfamethoxazole / trimethoprim,8
COPD_prednisone,8
COPD_montelukast,8
COPD_budesonide / formoterol,8
COPD_fluticasone / vilanterol,8
COPD_aclidinium,8
COPD_levalbuterol,8
COPD_roflumilast,8
COPD_umeclidinium / vilanterol,8
