sentence,label
Alkylating Agent Cystitis is treated with drug <MASK>,sodium bicarbonate
Alkylating Agent Cystitis is treated with drug <MASK>,citric acid AND sodium citrate
CNS Infection is treated with drug <MASK>,cefotaxime
Seizures  is treated with drug <MASK>,levetiracetam
Seizures  is treated with drug <MASK>,phenobarbital
Seizures  is treated with drug <MASK>,phenytoin
Seizures  is treated with drug <MASK>,diazepam
Seizures  is treated with drug <MASK>,oxcarbazepine
Seizures  is treated with drug <MASK>,zonisamide
Seizures  is treated with drug <MASK>,topiramate
Seizures  is treated with drug <MASK>,valproic acid
Seizures  is treated with drug <MASK>,primidone
Angina is treated with drug <MASK>,aspirin
Angina is treated with drug <MASK>,nitroglycerin
Angina is treated with drug <MASK>,metoprolol
Angina is treated with drug <MASK>,amlodipine
Angina is treated with drug <MASK>,isosorbide mononitrate
Angina is treated with drug <MASK>,isosorbide dinitrate
Angina is treated with drug <MASK>,enoxaparin
Angina is treated with drug <MASK>,ranolazine
Angina is treated with drug <MASK>,atenolol
Angina is treated with drug <MASK>,carvedilol
Angina is treated with drug <MASK>,amlodipine AND atorvastatin
GERD is treated with drug <MASK>,omeprazole
GERD is treated with drug <MASK>,pantoprazole
GERD is treated with drug <MASK>,ranitidine
GERD is treated with drug <MASK>,famotidine
GERD is treated with drug <MASK>,lansoprazole
GERD is treated with drug <MASK>,esomeprazole
GERD is treated with drug <MASK>,rabeprazole
GERD is treated with drug <MASK>,sucralfate
GERD is treated with drug <MASK>,dexlansoprazole
GERD is treated with drug <MASK>,omeprazole AND sodium bicarbonate
Muscle Pain is treated with drug <MASK>,ibuprofen
Muscle Pain is treated with drug <MASK>,naproxen
Muscle Pain is treated with drug <MASK>,acetaminophen
Muscle Pain is treated with drug <MASK>,diclofenac
Muscle Pain is treated with drug <MASK>,nabumetone
Acne is treated with drug <MASK>,doxycycline
Acne is treated with drug <MASK>,spironolactone
Acne is treated with drug <MASK>,minocycline
Acne is treated with drug <MASK>,clindamycin
Acne is treated with drug <MASK>,tretinoin
Acne is treated with drug <MASK>,isotretinoin
Acne is treated with drug <MASK>,benzoyl peroxide
Acne is treated with drug <MASK>,adapalene
Acne is treated with drug <MASK>,tetracycline
Acne is treated with drug <MASK>,cephalexin
Acne is treated with drug <MASK>,sulfamethoxazole AND trimethoprim
Acne is treated with drug <MASK>,doxycycline
Acne is treated with drug <MASK>,spironolactone
Acne is treated with drug <MASK>,minocycline
